GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor,InsertAnchorOptions,0,17,0,0,0,4,0,1,0,1
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor,InsertAnchorExtension,0,58,1,1,0,17,1,9,0,9
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor,InsertAnchorNode,13,15,0,0,3,6,2,3,2,3
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup,MarkupLine,21,43,3,3,3,11,5,3,2,3
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup,FlexmarkFactory,12,311,5,15,3,77,5,21,0,16
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup,MarkupString,23,29,0,0,6,8,3,6,3,6
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup,MarkupMultiline,6,18,0,0,1,4,1,3,1,3
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorInlineParser.Factory,6,10,0,0,3,3,3,3,3,3
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorHtmlNodeRenderer.Factory,0,8,0,0,0,2,0,2,0,2
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorFormatter,1,43,2,2,1,11,2,4,0,4
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorNodeRenderer.Factory,0,8,0,0,0,2,0,2,0,2
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorHtmlNodeRenderer,1,39,1,1,1,9,1,3,0,3
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorNodeRenderer,0,33,1,1,0,7,1,3,0,3
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorFormatter.Factory,0,8,0,0,0,2,0,2,0,2
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark.insertanchor.internal,InsertAnchorInlineParser,2,40,2,2,1,12,2,5,0,5
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes.markup.flexmark,AstCollectingVisitor,33,69,2,2,12,18,5,6,4,5
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,DateTimeTimeZone,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,AbstractIPDatatype,4,0,0,0,2,0,1,0,1,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,URI,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,Integer,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,AbstractDatatype,31,0,2,0,8,0,6,0,5,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,Date,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,EmailAddress,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,AbstractStringDatatype,4,0,0,0,2,0,1,0,1,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,URIReference,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,PositiveInteger,20,0,2,0,5,0,3,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,DateTime,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,NonNegativeInteger,20,0,2,0,5,0,3,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,NCName,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,DateTimeZone,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,IPv4,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,IPv6,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,AbstractIntegerDatatype,4,0,0,0,2,0,1,0,1,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,Hostname,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,Base64,11,0,0,0,3,0,2,0,2,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,AbstractURIDatatype,4,0,0,0,2,0,1,0,1,0
Metaschema Datatype Support,gov.nist.secauto.metaschema.datatypes,Decimal,11,0,0,0,3,0,2,0,2,0
