GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FieldValueTypeInfoImpl,0,14,0,0,0,5,0,3,0,3
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IModelDefinitionTypeInfo,34,0,3,0,9,0,3,0,1,0
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractInstanceTypeInfo,0,10,0,0,0,4,0,2,0,2
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FieldDefinitionTypeInfoImpl,0,9,0,0,0,3,0,1,0,1
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FlagInstanceTypeInfoImpl,0,20,0,0,0,4,0,3,0,3
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AssemblyDefinitionTypeInfoImpl,9,60,2,6,2,18,2,7,0,5
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IFieldValueTypeInfo,0,5,0,0,0,1,0,1,0,1
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IFlagInstanceTypeInfo,6,0,0,0,1,0,1,0,1,0
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractModelDefinitionTypeInfo,11,79,1,3,2,22,2,9,1,8
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ModelInstanceTypeInfoImpl,19,144,3,13,3,32,3,11,0,6
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IFieldDefinitionTypeInfo,0,6,0,0,0,1,0,1,0,1
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractTypeInfo,15,57,4,4,5,15,3,5,0,4
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractDefinitionTypeInfo,24,82,1,3,5,22,2,9,1,8
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IAssemblyDefinitionTypeInfo,0,6,0,0,0,1,0,1,0,1
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ITypeInfo,6,0,0,0,2,0,2,0,2,0
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,DefaultTypeResolver,74,270,9,11,10,62,8,21,0,19
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ITypeResolver,0,5,0,0,0,1,0,1,0,1
Metaschema Java Data/Object Binding and Code Generation,gov.nist.secauto.metaschema.databind,DynamicBindingMatcher,15,28,3,1,3,9,4,5,2,5
