GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,FunctionUtils,173,34,20,4,37,10,22,6,11,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,DocumentFunctionException,18,0,0,0,7,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,IArgument,0,4,0,0,0,1,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,Occurrence,6,79,0,0,2,11,2,2,2,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,ArgumentImpl,75,9,10,0,17,4,11,1,6,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,OperationFunctions,705,235,84,44,167,52,97,17,40,10
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,FunctionService,25,80,1,1,3,23,2,9,1,9
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,ArgumentType,54,0,0,0,6,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,IFunction.FunctionProperty,0,44,0,0,0,5,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,IArgument.Builder,21,68,1,1,5,19,3,8,2,8
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,ISequenceType,5,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,SequenceTypeImpl,62,31,10,0,16,7,11,2,6,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,InvalidArgumentFunctionException,12,6,0,0,5,2,3,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,InvalidTypeFunctionException,53,0,2,0,13,0,5,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,UriFunctionException,18,0,0,0,7,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,AbstractFunction,0,25,0,0,0,9,0,5,0,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,IFunction.Builder,53,182,8,4,12,48,10,17,4,17
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,InvalidValueForCastFunctionException,10,6,0,0,4,2,2,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,DefaultFunction.CallingContext,15,81,6,6,6,16,8,4,2,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,ISequenceType.new ISequenceType() {...},11,0,0,0,5,0,5,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,FunctionLibrary.NamedFunctionSet,0,29,0,0,0,6,0,4,0,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,ArithmeticFunctionException,18,0,0,0,7,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,DefaultFunction,419,124,66,7,88,28,42,8,5,7
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,FunctionLibrary,44,128,4,6,7,34,4,9,1,7
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,DateTimeFunctionException,18,0,0,0,7,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,IFunction,10,22,0,0,2,4,2,4,2,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function,IFunctionLibrary,18,0,4,0,2,0,4,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnTrue,0,19,0,0,0,11,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnNot,17,32,0,2,4,16,2,3,2,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnBaseUri,41,39,4,0,10,25,5,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnResolveUri,126,55,18,0,29,35,13,1,4,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnDocumentUri,63,39,8,0,19,25,7,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnBoolean,95,61,20,4,22,26,14,3,2,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnFalse,0,19,0,0,0,11,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,NumericFunction,43,40,4,0,12,17,4,4,2,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnRound,40,34,4,0,12,18,3,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnDoc,97,24,8,0,18,15,6,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,DefaultFunctionLibrary,0,230,0,0,0,49,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnStartsWith,54,29,6,0,11,16,5,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnData,47,59,4,4,12,32,7,3,4,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnPath,74,39,6,0,18,25,7,1,4,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnCompare,41,32,4,0,10,20,4,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,MpRecurseDepth,97,55,0,0,19,35,5,1,5,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,CastFunction,25,41,2,0,7,18,2,4,1,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnStaticBaseUri,17,21,2,0,4,12,3,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.function.library,FnExists,20,24,2,0,3,15,3,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractFlagInstanceNodeItem,15,12,0,0,4,5,4,2,4,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureFlagContainerItem,9,4,0,0,3,1,3,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureOrhpanedDefinitionModelNodeItem,4,0,0,0,2,0,2,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,DefaultNodeItemFactory,147,245,18,10,25,52,19,18,7,16
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagDefinitionNodeItemImpl,2,5,0,0,1,2,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyInstanceNodeItemImpl,30,0,0,0,8,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IAssemblyNodeItem,18,5,2,0,5,1,5,1,4,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractNodeItemFactory,160,86,22,4,31,16,20,10,7,10
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureRequiredDataItem,2,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureNullableAtomicValuedItem,17,0,2,0,6,0,2,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyOrphanedDefinitionDataNodeItemImpl,0,24,0,0,0,6,0,3,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,CycledAssemblyInstanceNodeItemImpl,31,0,0,0,9,0,7,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IDefinitionNodeItem,0,12,0,2,0,2,0,2,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IModuleNodeItem,17,0,0,0,5,0,5,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,DocumentNodeItemImpl,35,0,0,0,8,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractGlobalDefinitionNodeItem,10,7,0,0,3,3,3,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyOrphanedDefinitionNodeItemImpl,5,13,0,0,1,3,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,RootAssemblyValuedNodeItemImpl,36,0,0,0,11,0,6,0,6,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,INodeItemFactory,6,21,0,0,1,4,1,4,1,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagInstanceNoValueNodeItemImpl,5,0,0,0,2,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFlagNodeItem,35,0,2,0,12,0,12,0,11,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldInstanceNoValueNodeItemImpl,20,0,0,0,5,0,3,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractInstanceNodeItem,6,16,0,0,2,6,2,3,2,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IRootAssemblyNodeItem,22,0,0,0,7,0,7,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractDefinitionNodeItem,0,9,0,0,0,4,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldGlobalDefinitionNodeItemImpl,5,11,0,0,1,3,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureFlagContainerItem.FlagContainer,6,10,0,0,1,4,1,2,1,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagInstanceNodeItemImpl,11,18,0,0,2,5,3,2,3,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldInstanceNodeItemImpl,17,34,0,0,4,8,3,3,3,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureNoDataAtomicValuedItem,2,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractNodeItemVisitor,142,7,14,0,28,2,17,3,10,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureModelContainerItem.ModelContainer,2,21,1,1,0,6,1,3,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyGlobalDefinitionNodeItemImpl,5,13,0,0,1,3,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureModelContainerItem,0,9,0,0,0,2,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractModelInstanceNodeItem,0,5,0,0,0,2,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureOrhpanedDefinitionNodeItem,2,2,0,0,1,1,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IDocumentNodeItem,47,0,4,0,14,0,11,0,9,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyInstanceNoValueNodeItemImpl,20,0,0,0,5,0,3,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureNoDataItem,4,0,0,0,2,0,2,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldOrphanedDefinitionNodeItemImpl,16,0,0,0,4,0,2,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,ModuleNodeItemImpl,0,22,0,0,0,6,0,3,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractOrphanedDefinitionNodeItem,5,7,0,0,2,3,2,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFieldNodeItem,23,0,2,0,6,0,6,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,INodeItem,101,12,11,1,19,2,17,3,11,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,NodeItemType,0,54,0,0,0,6,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,IValidationResult.new IValidationResult() {...},6,3,0,0,3,1,3,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,JsonSchemaContentValidator.JsonValidationResult,21,0,2,0,5,0,4,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,JsonSchemaContentValidator.JsonValidationFinding,27,0,0,0,8,0,5,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,IValidationResult,0,15,0,2,0,2,0,3,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,JsonSchemaContentValidator,110,0,0,0,29,0,9,0,9,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,XmlSchemaContentValidator.XmlValidationErrorHandler,82,0,2,0,20,0,9,0,8,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,AggregateValidationResult,97,0,6,0,22,0,11,0,8,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,XmlSchemaContentValidator,79,0,2,0,20,0,6,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,IContentValidator,38,0,0,0,5,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,XmlSchemaContentValidator.XmlValidationFinding,43,0,2,0,10,0,6,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,AbstractContentValidator,22,0,0,0,5,0,2,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,ValidatingNodeItemVisitor,37,0,0,0,9,0,6,0,6,0
Metaschema Core API,gov.nist.secauto.metaschema.core.datatype,AbstractCustomJavaDataType,16,8,0,0,4,3,4,1,4,1
Metaschema Core API,gov.nist.secauto.metaschema.core.datatype,AbstractDataTypeProvider,8,35,1,1,1,9,1,3,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.datatype,AbstractDataTypeAdapter,146,41,7,3,40,15,15,6,11,5
Metaschema Core API,gov.nist.secauto.metaschema.core.datatype,IDataTypeAdapter,46,0,0,0,8,0,8,0,8,0
Metaschema Core API,gov.nist.secauto.metaschema.core.datatype,DataTypeService,32,97,4,0,10,26,5,11,3,11
Metaschema Core API,gov.nist.secauto.metaschema.core.datatype,AbstractCustomJavaDataTypeAdapter,4,4,0,0,1,2,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.format,MetapathFormatter,33,3,0,0,11,1,7,1,7,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.format,IPathFormatter,14,5,0,0,3,1,2,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.format,IPathSegment,10,0,0,0,2,0,2,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.resource,AbstractResourceLoader,21,0,2,0,6,0,5,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultUniqueConstraint.Builder,26,0,0,0,11,0,2,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,IConstraint,6,15,1,1,1,3,2,2,1,2
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultConstraintValidator.Visitor,37,23,0,0,9,6,4,3,4,3
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultAllowedValuesConstraint.Builder,5,73,0,0,2,27,1,9,1,9
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,IAllowedValuesConstraint.Extensible,0,34,0,0,0,4,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,FindingCollectingConstraintValidationHandler,163,56,1,1,53,17,12,6,11,6
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,IConstraint.Level,0,44,0,0,0,5,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultConstraintValidator,711,173,69,11,180,48,61,17,23,15
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultKeyField,21,0,0,0,8,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultIndex,49,0,4,0,12,0,6,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultIndexConstraint,35,0,2,0,8,0,5,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,AbstractTargetedConstraints,96,40,0,0,15,11,6,5,6,5
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultAllowedValue,3,12,0,0,1,5,1,2,1,2
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultConstraintValidator.KeyRef,21,0,0,0,8,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultCardinalityConstraint.Builder,60,0,4,0,22,0,9,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,IIndex,170,0,18,0,38,0,18,0,9,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,IConstraint.InternalModelSource,4,7,0,0,2,2,2,2,2,2
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,ConstraintComposingVisitor,23,10,0,0,6,3,4,2,4,2
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,ConstraintVisitingModelWalker,303,0,30,0,72,0,37,0,22,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultConstraintValidator.ValueStatus,57,116,6,16,10,29,5,9,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultMatchesConstraint,41,0,4,0,10,0,7,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultExpectConstraint,39,27,2,0,9,7,6,3,5,3
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultMatchesConstraint.Builder,65,0,4,0,23,0,10,0,8,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultExpectConstraint.Builder,5,48,0,0,2,19,1,6,1,6
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultIndexHasKeyConstraint.Builder,45,0,0,0,18,0,5,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,AbstractKeyConstraint,25,0,2,0,6,0,3,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultUniqueConstraint,21,0,0,0,4,0,3,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultIndexConstraint.Builder,45,0,0,0,18,0,5,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,AbstractConstraintValidationHandler,196,50,2,0,28,11,10,5,9,5
Metaschema Core API,gov.nist.secauto.metaschema.core.model.constraint,DefaultCardinalityConstraint,41,0,4,0,10,0,7,0,5,0
