GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,SimpleJavaType,33,50,9,1,11,16,6,6,1,6
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,ListJavaType,6,25,3,3,3,8,3,4,0,4
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,AbstractJavaType,29,22,5,1,8,7,5,4,2,4
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,AbstractCollectionJavaType,12,120,4,4,5,26,5,9,1,9
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,JavaType,19,22,0,0,3,4,3,4,3,4
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,ClassJavaType,17,57,7,5,6,16,7,6,1,6
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,DataType,0,314,0,2,0,35,0,7,0,6
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.type,MapJavaType,47,59,13,1,15,13,9,5,2,5
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.support,PaddedStringWriter,16,0,0,0,7,0,3,0,3,0
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,InnerClassBuilder,234,0,14,0,51,0,19,0,12,0
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,AbstractMemberBuilder,0,15,0,0,0,6,0,4,0,4
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,ClassBuilder,47,204,2,14,10,43,8,13,6,7
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,AbstractMethodBuilder,0,69,0,2,0,12,0,6,0,5
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,FieldBuilder,0,71,0,0,0,15,0,5,0,5
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,Visibility,0,59,0,0,0,9,0,3,0,3
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,MethodBuilder,22,127,1,5,3,28,3,9,2,7
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,AbstractBuilder,13,228,4,14,4,49,6,18,2,13
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,ConstructorBuilder,0,67,1,1,0,13,1,4,0,4
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen.builder,AbstractClassBuilder,0,79,0,0,0,19,0,8,0,8
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,AssemblyClassGenerator,36,178,4,16,8,40,4,12,0,6
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,FlagPropertyGenerator,27,107,8,10,4,30,7,11,1,8
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,SingletonInstanceGenerator,0,6,0,0,0,2,0,1,0,1
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,AbstractModelItemPropertyGenerator,28,205,6,20,7,52,6,13,0,6
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,JavaGenerator.DeconflictingJavaTypeSupplier,32,73,2,6,5,19,2,4,0,2
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,JavaGenerator.GeneratedClass,0,29,0,0,0,10,0,4,0,4
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,JavaGenerator,79,332,8,26,13,67,8,16,1,6
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,FieldClassGenerator,18,80,4,6,6,23,6,8,2,7
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,AbstractPropertyGenerator,19,102,3,5,6,20,3,8,1,6
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,AbstractClassGenerator,19,227,1,9,3,53,2,17,1,13
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,ListInstanceGenerator,0,7,0,0,0,2,0,1,0,1
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,FieldValuePropertyGenerator,49,60,5,2,11,15,6,7,2,7
Metaschema Java Code Generator,gov.nist.secauto.metaschema.codegen,MapInstanceGenerator,0,9,0,0,0,3,0,1,0,1
